time,Open,High,Low,Close,Volume
2026-02-24 04:00:00,5171.898,5174.81,5160.916,5168.322,6710
2026-02-24 05:00:00,5168.26,5185.704,5163.948,5182.363,8065
2026-02-24 06:00:00,5182.507,5184.843,5156.125,5173.388,8945
2026-02-24 07:00:00,5173.305,5183.992,5164.044,5179.06,9511
2026-02-24 08:00:00,5179.02,5181.856,5164.834,5173.446,8913
2026-02-24 09:00:00,5173.346,5180.344,5166.321,5171.422,6636
2026-02-24 10:00:00,5171.428,5181.307,5163.212,5172.535,7024
2026-02-24 11:00:00,5172.53,5178.533,5170.897,5172.835,5291
2026-02-24 12:00:00,5172.793,5173.595,5144.682,5150.316,11613
2026-02-24 13:00:00,5150.483,5161.097,5110.63,5115.082,19152
2026-02-24 14:00:00,5115.001,5139.115,5093.319,5128.311,30074
2026-02-24 15:00:00,5128.521,5155.306,5117.962,5150.191,16169
2026-02-24 16:00:00,5150.171,5152.295,5130.537,5141.603,12940
2026-02-24 17:00:00,5141.797,5163.772,5141.494,5163.772,8192
2026-02-24 18:00:00,5163.582,5170.116,5153.195,5160.17,8958
2026-02-24 19:00:00,5160.122,5160.626,5146.172,5154.063,8057
2026-02-24 20:00:00,5154.169,5173.146,5146.594,5163.892,8066
2026-02-24 21:00:00,5163.97,5165.718,5140.216,5143.82,5245
2026-02-24 23:00:00,5135.424,5152.161,5127.569,5146.578,5928
2026-02-25 00:00:00,5146.576,5156.336,5136.459,5152.214,8184
2026-02-25 01:00:00,5152.13,5189.947,5144.07,5176.554,13943
2026-02-25 02:00:00,5176.86,5193.907,5166.434,5180.43,9847
2026-02-25 03:00:00,5180.47,5190.082,5178.449,5182.161,7716
2026-02-25 04:00:00,5182.014,5184.998,5171.775,5182.61,5145
2026-02-25 05:00:00,5182.685,5210.592,5182.504,5201.72,7920
2026-02-25 06:00:00,5201.697,5201.697,5182.076,5194.493,8221
2026-02-25 07:00:00,5194.418,5194.967,5180.372,5184.635,6086
2026-02-25 08:00:00,5184.74,5197.169,5183.826,5185.487,6457
2026-02-25 09:00:00,5185.398,5194.39,5176.281,5192.912,7192
