signal_id,sample_source,time,timeframe,hour,day_of_week,setup_type,direction,entry_price,sl_price,tp_price,risk_pips,atr_14,trend,relative_risk,killzone,fvg_width,relative_fvg_width,near_psychological_level,knn_prob_sig,knn_prob_opp,dist_entry_to_poc,dist_entry_to_nearest_poc,dist_entry_to_pp,dist_entry_to_nearest_pivot,floop_signal,floop_strength,floop_trend,floop_trend_aligned,confidence,accept_threshold,resolved_at,result,pnl_relative,label,rr_ratio,atr_percentile,body_to_range_ratio,dist_to_recent_swing,htf_trend_aligned,confluence_score,order_type,reaction_strength
M30_Pivot_SINGLE_BEAR_4125.000_2026-07-08_07:30:00,shadow,2026-07-08 07:30:00,30,7,2,2,-1,4125.0,4127.0,4121.0,2.0,11.732214285714235,-1,0.17047080383072322,0,0.0,0.0,1,0.9140997134934228,0.08590028650657718,0.014552725853225569,0.00016693333333321126,0.00031888953690681994,0.00031878787878778176,0,6.0,1,0,0.4803001876172607,0.5,2026-07-09 13:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,0,0,0,0.0
M30_IC_DUAL_BEAR_4122.649_4123.719_2026-07-08_08:00:00_0.5,shadow,2026-07-08 08:00:00,30,8,2,1,-1,4122.6485,4129.185,4118.112,6.53650000000016,13.216928571428655,-1,0.49455514302545794,0,0.0,0.0,0,0.07939884286110921,0.9206011571388908,0.00404341544099371,0.004027132072986874,-0.00025086797409009195,0.0002509309246227886,0,10.0,-1,1,0.5131313131313132,0.5,2026-07-09 12:30:00,tp,0.694026,1,0.6940258548152756,0.0,0.0,0.0,1,0,0,0.0
M30_IC_DUAL_BEAR_4122.649_4123.719_2026-07-08_08:00:00_0.618,shadow,2026-07-08 08:00:00,30,8,2,1,-1,4123.719114,4129.185,4118.112,5.465885999999955,13.216928571428655,-1,0.4135519058350432,0,0.0,0.0,0,0.07939884286110921,0.9206011571388908,0.004304156306284348,0.00428570994081568,8.757705187438633e-06,8.757628490710172e-06,0,10.0,-1,1,0.4803001876172607,0.5,2026-07-09 13:00:00,tp,1.025838,1,1.025838080047848,0.0,0.0,0.0,1,0,0,0.0
M30_Swapzone_SINGLE_BEAR_4135.645_2026-07-07_18:30:00,shadow,2026-07-07 18:30:00,30,18,1,1,-1,4135.645,4136.145,4134.645,0.5,12.999214285714386,-1,0.038463863200522815,0,0.0,0.0,1,0.2101929771331892,0.7898070228668108,0.014853518742243338,0.0023559323878139925,-0.006568516584515547,0.003107294428478812,0,9.0,-1,1,0.4803001876172607,0.5,2026-07-09 14:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
M30_IC_SINGLE_BULL_4114.868_2026-07-09_13:00:00,shadow,2026-07-09 13:00:00,30,13,3,1,1,4114.868,4105.002,4122.734,9.865999999999985,11.118071428571414,1,0.8873841172351319,0,0.0,0.0,1,1.0,0.0,-0.0025289006372316704,0.0025353121898441487,0.009199914650586652,0.004406297682776897,1,12.0,1,1,0.3681917211328976,0.5,2026-07-09 14:00:00,tp,0.797284,1,0.7972836002432594,0.0,0.0,0.0,1,0,0,0.0
H4_Pivot_SINGLE_BEAR_4125.000_2026-07-08_04:00:00,shadow,2026-07-08 04:00:00,240,4,2,2,-1,4125.0,4127.0,4121.0,2.0,31.63507142857137,-1,0.06322097310624974,3,0.0,0.0,1,0.6308371227012188,0.36916287729878117,-0.012906250771166949,0.013074999999999956,0.0003193746949025925,0.000319272727272729,0,8.0,-1,1,0.3446808510638298,0.5,2026-07-09 12:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
H4_OB_DUAL_BEAR_4113.774_4117.880_2026-07-08_08:00:00_0.5,shadow,2026-07-08 08:00:00,240,8,2,1,-1,4113.7744999999995,4133.171,4040.406,19.396500000000742,34.39892857142848,-1,0.563869306560651,0,0.0,0.0,0,0.5090975074418592,0.49090249255814067,-0.015592461894068458,0.012311971645504502,-0.0024028277634339152,0.0024086152510305217,0,14.0,-1,1,0.4803001876172607,0.5,2026-07-09 12:00:00,sl,-1.0,0,3.782563864614584,0.0,0.0,0.0,1,0,0,0.0
H4_OB_DUAL_BEAR_4113.774_4117.880_2026-07-08_08:00:00_0.618,shadow,2026-07-08 08:00:00,240,8,2,1,-1,4117.880074,4133.171,4040.406,15.290926000000582,34.39892857142848,-1,0.44451750781276145,0,0.0,0.0,0,0.5090975074418592,0.49090249255814067,-0.014610016698335955,0.013296708018699727,-0.0014072192261142037,0.0014092022826598467,0,14.0,-1,1,0.4803001876172607,0.5,2026-07-09 12:00:00,sl,-1.0,0,5.06666986682146,0.0,0.0,0.0,1,0,0,0.0
M30_IC_DUAL_BULL_4114.868_4113.012_2026-07-09_13:00:00_0.5,shadow,2026-07-09 13:00:00,30,13,3,1,1,4114.868,4105.002,4122.734,9.865999999999985,11.118071428571414,1,0.8873841172351319,0,0.0,0.0,1,0.7990009043694962,0.2009990956305039,0.0018989881889549384,0.0018953888678813551,0.009199914650586652,0.004406297682776897,1,12.0,1,1,0.4803001876172607,0.5,2026-07-09 14:00:00,tp,0.797284,1,0.7972836002432594,0.0,0.0,0.0,1,0,0,0.0
H1_IC_DUAL_BULL_4113.908_4111.825_2026-07-09_14:00:00_0.5,shadow,2026-07-09 14:00:00,60,14,3,1,1,4113.908,4103.082,4122.734,10.826000000000022,16.3246428571428,1,0.6631691789363182,2,0.0,0.0,0,0.6028045750684192,0.3971954249315808,-0.0030128696674027473,0.0030219744826572104,0.008964467992743776,0.004640680669896566,0,12.0,1,1,0.4803001876172607,0.5,2026-07-10 01:00:00,tp,0.81526,1,0.8152595603177539,0.0,0.0,0.0,1,0,0,0.0
