timeframe,capital,strategy,max_concurrent,ml_threshold,sizing_config,total_resolved,wins,losses,winrate,final_balance,max_dd_usd,max_dd_pct,blown
M15,50.0,Swapzone,100,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,100,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BPR,1,0.0,equal,207,111,96,53.62318840579711,0.0,129.06235200000538,106.60242378404472,True
M15,50.0,BPR,1,0.5,equal,26,14,12,53.84615384615385,0.0,144.28915599999982,124.52535359314328,True
M15,50.0,BPR,1,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,206.01699946457387,True
M15,50.0,BPR,1,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,BPR,1,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,BPR,3,0.0,equal,109,61,48,55.96330275229357,0.0,114.94196000000466,100.73725900923868,True
M15,50.0,BPR,3,0.5,equal,30,16,14,53.333333333333336,0.0,242.59436000000005,160.63950152019842,True
M15,50.0,BPR,3,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,206.01699946457387,True
M15,50.0,BPR,3,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,BPR,3,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,BPR,5,0.0,equal,109,61,48,55.96330275229357,0.0,114.94196000000466,100.73725900923868,True
M15,50.0,BPR,5,0.5,equal,30,16,14,53.333333333333336,0.0,242.59436000000005,160.63950152019842,True
M15,50.0,BPR,5,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,206.01699946457387,True
M15,50.0,BPR,5,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,BPR,5,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,BPR,100,0.0,equal,109,61,48,55.96330275229357,0.0,114.94196000000466,100.73725900923868,True
M15,50.0,BPR,100,0.5,equal,30,16,14,53.333333333333336,0.0,242.59436000000005,160.63950152019842,True
M15,50.0,BPR,100,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,206.01699946457387,True
M15,50.0,BPR,100,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,BPR,100,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,288.57831199999964,True
M15,50.0,IC,1,0.0,equal,47,15,32,31.914893617021278,0.0,80.54747999999927,103.36138931087181,True
M15,50.0,IC,1,0.5,equal,4,0,4,0.0,0.0,51.13770399999976,102.27540799999953,True
M15,50.0,IC,1,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,1,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,1,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,3,0.0,equal,45,15,30,33.33333333333333,0.0,78.5610859999988,100.81237792580018,True
M15,50.0,IC,3,0.5,equal,4,0,4,0.0,0.0,51.13770399999976,102.27540799999953,True
M15,50.0,IC,3,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,3,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,3,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,5,0.0,equal,45,15,30,33.33333333333333,0.0,78.5610859999988,100.81237792580018,True
M15,50.0,IC,5,0.5,equal,4,0,4,0.0,0.0,51.13770399999976,102.27540799999953,True
M15,50.0,IC,5,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,5,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,5,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,100,0.0,equal,45,15,30,33.33333333333333,0.0,78.5610859999988,100.81237792580018,True
M15,50.0,IC,100,0.5,equal,4,0,4,0.0,0.0,51.13770399999976,102.27540799999953,True
M15,50.0,IC,100,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,100,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,IC,100,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,COMBINED,1,0.0,equal,168,80,88,47.61904761904761,0.0,131.5543419999949,106.99961984057482,True
M15,50.0,COMBINED,1,0.5,equal,518,284,234,54.826254826254825,1595.6644240000096,340.8087179999993,45.71933198295155,False
M15,50.0,COMBINED,1,0.7,equal,6,2,4,33.33333333333333,0.0,76.21277399999963,115.67282220181687,True
M15,50.0,COMBINED,1,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,COMBINED,1,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
M15,50.0,COMBINED,3,0.0,equal,96,41,55,42.70833333333333,0.0,91.46284999999625,108.15786175660934,True
M15,50.0,COMBINED,3,0.5,equal,581,316,265,54.38898450946644,1901.3883600000145,368.7366099999954,76.60475313906849,False
M15,50.0,COMBINED,3,0.7,equal,6,2,4,33.33333333333333,0.0,76.21277399999963,115.67282220181687,True
M15,50.0,COMBINED,3,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,COMBINED,3,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
M15,50.0,COMBINED,5,0.0,equal,96,41,55,42.70833333333333,0.0,91.46284999999625,108.15786175660934,True
M15,50.0,COMBINED,5,0.5,equal,584,319,265,54.62328767123288,1957.1044260000144,340.8087179999993,65.02978237115343,False
M15,50.0,COMBINED,5,0.7,equal,6,2,4,33.33333333333333,0.0,76.21277399999963,115.67282220181687,True
M15,50.0,COMBINED,5,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,COMBINED,5,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
